label,text
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,It exceeded all my expectations.
1,I absolutely loved this movie.
1,One of the best movies I’ve seen in years.
1,The direction and cinematography were top-notch.
1,One of the best movies I’ve seen in years.
1,It exceeded all my expectations.
1,The acting was phenomenal.
1,It exceeded all my expectations.
1,Truly inspiring and heartwarming.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,What a brilliant story and great characters!
1,A masterpiece! I could watch it again and again.
1,What a brilliant story and great characters!
1,What a brilliant story and great characters!
1,One of the best movies I’ve seen in years.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,The direction and cinematography were top-notch.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,I absolutely loved this movie.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,The direction and cinematography were top-notch.
1,One of the best movies I’ve seen in years.
1,One of the best movies I’ve seen in years.
1,Truly inspiring and heartwarming.
1,Everything about this movie was perfect.
1,Truly inspiring and heartwarming.
1,The acting was phenomenal.
1,An outstanding film with amazing visuals.
1,What a brilliant story and great characters!
1,The direction and cinematography were top-notch.
1,What a brilliant story and great characters!
1,It exceeded all my expectations.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,The direction and cinematography were top-notch.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,An outstanding film with amazing visuals.
1,Everything about this movie was perfect.
1,A masterpiece! I could watch it again and again.
1,I absolutely loved this movie.
1,One of the best movies I’ve seen in years.
1,It exceeded all my expectations.
1,The direction and cinematography were top-notch.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,What a brilliant story and great characters!
1,Everything about this movie was perfect.
1,The acting was phenomenal.
1,The acting was phenomenal.
1,The acting was phenomenal.
1,I absolutely loved this movie.
1,It exceeded all my expectations.
1,I absolutely loved this movie.
1,What a brilliant story and great characters!
1,A masterpiece! I could watch it again and again.
1,An outstanding film with amazing visuals.
1,The direction and cinematography were top-notch.
1,What a brilliant story and great characters!
1,A masterpiece! I could watch it again and again.
1,I absolutely loved this movie.
1,I absolutely loved this movie.
1,The direction and cinematography were top-notch.
1,What a brilliant story and great characters!
1,It exceeded all my expectations.
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,Everything about this movie was perfect.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,A masterpiece! I could watch it again and again.
1,The direction and cinematography were top-notch.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,An outstanding film with amazing visuals.
1,Everything about this movie was perfect.
1,It exceeded all my expectations.
1,Everything about this movie was perfect.
1,One of the best movies I’ve seen in years.
1,An outstanding film with amazing visuals.
1,I absolutely loved this movie.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,The acting was phenomenal.
1,The direction and cinematography were top-notch.
1,What a brilliant story and great characters!
1,The acting was phenomenal.
1,The acting was phenomenal.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,Everything about this movie was perfect.
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,What a brilliant story and great characters!
1,A masterpiece! I could watch it again and again.
1,Everything about this movie was perfect.
1,One of the best movies I’ve seen in years.
1,The direction and cinematography were top-notch.
1,Everything about this movie was perfect.
1,The acting was phenomenal.
1,One of the best movies I’ve seen in years.
1,What a brilliant story and great characters!
1,The direction and cinematography were top-notch.
1,It exceeded all my expectations.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,The acting was phenomenal.
1,An outstanding film with amazing visuals.
1,A masterpiece! I could watch it again and again.
1,What a brilliant story and great characters!
1,One of the best movies I’ve seen in years.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,Everything about this movie was perfect.
1,I absolutely loved this movie.
1,Truly inspiring and heartwarming.
1,The direction and cinematography were top-notch.
1,Everything about this movie was perfect.
1,What a brilliant story and great characters!
1,I absolutely loved this movie.
1,An outstanding film with amazing visuals.
1,One of the best movies I’ve seen in years.
1,I absolutely loved this movie.
1,An outstanding film with amazing visuals.
1,The direction and cinematography were top-notch.
1,Truly inspiring and heartwarming.
1,It exceeded all my expectations.
1,Everything about this movie was perfect.
1,A masterpiece! I could watch it again and again.
1,It exceeded all my expectations.
1,It exceeded all my expectations.
1,The direction and cinematography were top-notch.
1,A masterpiece! I could watch it again and again.
1,The direction and cinematography were top-notch.
1,Everything about this movie was perfect.
1,I absolutely loved this movie.
1,The direction and cinematography were top-notch.
1,I absolutely loved this movie.
1,Everything about this movie was perfect.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,It exceeded all my expectations.
1,An outstanding film with amazing visuals.
1,A masterpiece! I could watch it again and again.
1,The direction and cinematography were top-notch.
1,A masterpiece! I could watch it again and again.
1,The direction and cinematography were top-notch.
1,Truly inspiring and heartwarming.
1,One of the best movies I’ve seen in years.
1,A masterpiece! I could watch it again and again.
1,It exceeded all my expectations.
1,The acting was phenomenal.
1,I absolutely loved this movie.
1,A masterpiece! I could watch it again and again.
1,An outstanding film with amazing visuals.
1,What a brilliant story and great characters!
1,The acting was phenomenal.
1,One of the best movies I’ve seen in years.
1,The direction and cinematography were top-notch.
1,Truly inspiring and heartwarming.
1,The direction and cinematography were top-notch.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,What a brilliant story and great characters!
1,One of the best movies I’ve seen in years.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,The direction and cinematography were top-notch.
1,The direction and cinematography were top-notch.
1,One of the best movies I’ve seen in years.
1,It exceeded all my expectations.
1,A masterpiece! I could watch it again and again.
1,Truly inspiring and heartwarming.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,Truly inspiring and heartwarming.
1,It exceeded all my expectations.
1,Everything about this movie was perfect.
1,What a brilliant story and great characters!
1,It exceeded all my expectations.
1,Truly inspiring and heartwarming.
1,Truly inspiring and heartwarming.
1,One of the best movies I’ve seen in years.
1,It exceeded all my expectations.
1,Everything about this movie was perfect.
1,I absolutely loved this movie.
1,The direction and cinematography were top-notch.
1,A masterpiece! I could watch it again and again.
1,The acting was phenomenal.
1,I absolutely loved this movie.
1,Everything about this movie was perfect.
1,An outstanding film with amazing visuals.
1,The direction and cinematography were top-notch.
1,The direction and cinematography were top-notch.
1,Everything about this movie was perfect.
1,An outstanding film with amazing visuals.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,An outstanding film with amazing visuals.
1,Truly inspiring and heartwarming.
1,I absolutely loved this movie.
1,It exceeded all my expectations.
1,I absolutely loved this movie.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,Truly inspiring and heartwarming.
1,I absolutely loved this movie.
1,I absolutely loved this movie.
1,What a brilliant story and great characters!
1,I absolutely loved this movie.
1,Truly inspiring and heartwarming.
1,I absolutely loved this movie.
1,An outstanding film with amazing visuals.
1,An outstanding film with amazing visuals.
1,Everything about this movie was perfect.
1,The direction and cinematography were top-notch.
1,I absolutely loved this movie.
1,It exceeded all my expectations.
1,The direction and cinematography were top-notch.
1,The acting was phenomenal.
1,The acting was phenomenal.
1,What a brilliant story and great characters!
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,One of the best movies I’ve seen in years.
1,Everything about this movie was perfect.
1,The direction and cinematography were top-notch.
1,An outstanding film with amazing visuals.
1,It exceeded all my expectations.
1,The acting was phenomenal.
1,Everything about this movie was perfect.
1,It exceeded all my expectations.
0,Nothing about it worked for me.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,One of the worst movies I’ve ever seen.
0,The plot made no sense at all.
0,Poorly directed and poorly written.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,Poorly directed and poorly written.
0,I regret watching this movie.
0,It was a complete waste of time.
0,The plot made no sense at all.
0,The plot made no sense at all.
0,The characters were flat and uninteresting.
0,Nothing about it worked for me.
0,It was a complete waste of time.
0,The plot made no sense at all.
0,I really disliked this movie.
0,The plot made no sense at all.
0,The characters were flat and uninteresting.
0,Poorly directed and poorly written.
0,I really disliked this movie.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,Poorly directed and poorly written.
0,One of the worst movies I’ve ever seen.
0,It was a complete waste of time.
0,It was a complete waste of time.
0,I really disliked this movie.
0,I really disliked this movie.
0,The characters were flat and uninteresting.
0,It was a complete waste of time.
0,The plot made no sense at all.
0,I regret watching this movie.
0,I really disliked this movie.
0,Terrible acting and awful dialogue.
0,I regret watching this movie.
0,I regret watching this movie.
0,Terrible acting and awful dialogue.
0,The characters were flat and uninteresting.
0,The plot made no sense at all.
0,Disappointing and boring throughout.
0,One of the worst movies I’ve ever seen.
0,Nothing about it worked for me.
0,The plot made no sense at all.
0,The plot made no sense at all.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,It was a complete waste of time.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,It was a complete waste of time.
0,Poorly directed and poorly written.
0,One of the worst movies I’ve ever seen.
0,Disappointing and boring throughout.
0,The plot made no sense at all.
0,I really disliked this movie.
0,Terrible acting and awful dialogue.
0,I regret watching this movie.
0,The characters were flat and uninteresting.
0,One of the worst movies I’ve ever seen.
0,It was a complete waste of time.
0,I regret watching this movie.
0,I really disliked this movie.
0,I really disliked this movie.
0,The characters were flat and uninteresting.
0,Terrible acting and awful dialogue.
0,One of the worst movies I’ve ever seen.
0,I really disliked this movie.
0,Terrible acting and awful dialogue.
0,I really disliked this movie.
0,Poorly directed and poorly written.
0,Nothing about it worked for me.
0,It was a complete waste of time.
0,Disappointing and boring throughout.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,Disappointing and boring throughout.
0,Terrible acting and awful dialogue.
0,I really disliked this movie.
0,Nothing about it worked for me.
0,Disappointing and boring throughout.
0,Nothing about it worked for me.
0,Poorly directed and poorly written.
0,I regret watching this movie.
0,I regret watching this movie.
0,I really disliked this movie.
0,I really disliked this movie.
0,Disappointing and boring throughout.
0,Poorly directed and poorly written.
0,Terrible acting and awful dialogue.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,Disappointing and boring throughout.
0,Terrible acting and awful dialogue.
0,One of the worst movies I’ve ever seen.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,One of the worst movies I’ve ever seen.
0,I regret watching this movie.
0,One of the worst movies I’ve ever seen.
0,The characters were flat and uninteresting.
0,The plot made no sense at all.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,One of the worst movies I’ve ever seen.
0,Poorly directed and poorly written.
0,Nothing about it worked for me.
0,I really disliked this movie.
0,It was a complete waste of time.
0,Disappointing and boring throughout.
0,I really disliked this movie.
0,It was a complete waste of time.
0,Disappointing and boring throughout.
0,I really disliked this movie.
0,I regret watching this movie.
0,The plot made no sense at all.
0,Nothing about it worked for me.
0,I regret watching this movie.
0,Poorly directed and poorly written.
0,It was a complete waste of time.
0,Nothing about it worked for me.
0,I regret watching this movie.
0,One of the worst movies I’ve ever seen.
0,I really disliked this movie.
0,Poorly directed and poorly written.
0,Poorly directed and poorly written.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,I regret watching this movie.
0,Poorly directed and poorly written.
0,I regret watching this movie.
0,It was a complete waste of time.
0,It was a complete waste of time.
0,It was a complete waste of time.
0,Disappointing and boring throughout.
0,The characters were flat and uninteresting.
0,I really disliked this movie.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,The plot made no sense at all.
0,The plot made no sense at all.
0,The characters were flat and uninteresting.
0,The characters were flat and uninteresting.
0,One of the worst movies I’ve ever seen.
0,Nothing about it worked for me.
0,I really disliked this movie.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,Terrible acting and awful dialogue.
0,Nothing about it worked for me.
0,The characters were flat and uninteresting.
0,I really disliked this movie.
0,The plot made no sense at all.
0,Terrible acting and awful dialogue.
0,Disappointing and boring throughout.
0,One of the worst movies I’ve ever seen.
0,Poorly directed and poorly written.
0,The characters were flat and uninteresting.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,Poorly directed and poorly written.
0,The characters were flat and uninteresting.
0,Terrible acting and awful dialogue.
0,It was a complete waste of time.
0,I regret watching this movie.
0,The plot made no sense at all.
0,Disappointing and boring throughout.
0,Disappointing and boring throughout.
0,It was a complete waste of time.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,Poorly directed and poorly written.
0,It was a complete waste of time.
0,I regret watching this movie.
0,It was a complete waste of time.
0,Poorly directed and poorly written.
0,One of the worst movies I’ve ever seen.
0,The characters were flat and uninteresting.
0,One of the worst movies I’ve ever seen.
0,Poorly directed and poorly written.
0,One of the worst movies I’ve ever seen.
0,The plot made no sense at all.
0,I really disliked this movie.
0,The plot made no sense at all.
0,One of the worst movies I’ve ever seen.
0,Disappointing and boring throughout.
0,I really disliked this movie.
0,Terrible acting and awful dialogue.
0,One of the worst movies I’ve ever seen.
0,Poorly directed and poorly written.
0,I regret watching this movie.
0,I really disliked this movie.
0,I regret watching this movie.
0,The plot made no sense at all.
0,Disappointing and boring throughout.
0,The plot made no sense at all.
0,It was a complete waste of time.
0,I regret watching this movie.
0,Nothing about it worked for me.
0,Disappointing and boring throughout.
0,The plot made no sense at all.
0,I really disliked this movie.
0,The characters were flat and uninteresting.
0,I really disliked this movie.
0,The plot made no sense at all.
0,Terrible acting and awful dialogue.
0,The characters were flat and uninteresting.
0,The plot made no sense at all.
0,One of the worst movies I’ve ever seen.
0,Terrible acting and awful dialogue.
0,The characters were flat and uninteresting.
0,It was a complete waste of time.
0,I really disliked this movie.
0,I really disliked this movie.
0,It was a complete waste of time.
0,I regret watching this movie.
0,The characters were flat and uninteresting.
0,Nothing about it worked for me.
0,I really disliked this movie.
0,The plot made no sense at all.
0,The characters were flat and uninteresting.
0,The plot made no sense at all.
0,Poorly directed and poorly written.
0,Disappointing and boring throughout.
0,The characters were flat and uninteresting.
0,One of the worst movies I’ve ever seen.
0,One of the worst movies I’ve ever seen.
0,Terrible acting and awful dialogue.
0,Nothing about it worked for me.
0,It was a complete waste of time.
0,Terrible acting and awful dialogue.
0,Poorly directed and poorly written.
